CP,HP,LP,OP,RF,TV,UD,date,turnover
"2,611.38","2,623.16","2,595.05","2,600.61",0.44,"105,898,666,249.00",11.33,20181228,"119,078,887.00"
"2,600.05","2,651.32","2,600.05","2,646.85",-0.61,"112,398,024,808.00",-15.95,20181227,"135,241,303.00"
"2,616.00","2,632.28","2,609.48","2,618.95",-0.26,"93,898,364,353.00",-6.83,20181226,"108,623,098.00"
"2,622.83","2,632.43","2,578.82","2,621.86",-0.88,"114,640,294,141.00",-23.24,20181225,"140,440,252.00"
"2,646.07","2,648.63","2,618.19","2,624.81",0.43,"85,679,906,724.00",11.27,20181224,"97,195,310.00"
"2,634.80","2,646.45","2,616.36","2,645.53",-0.79,"101,233,523,711.00",-20.93,20181221,"115,472,773.00"
"2,655.73","2,675.25","2,634.48","2,664.37",-0.52,"103,414,235,871.00",-13.95,20181220,"120,415,794.00"
"2,669.68","2,701.51","2,667.08","2,700.24",-1.05,"93,655,904,754.00",-28.43,20181219,"107,553,955.00"
"2,698.11","2,721.70","2,684.41","2,705.41",-0.82,"99,232,969,625.00",-22.36,20181218,"116,895,406.00"
"2,720.47","2,721.50","2,695.19","2,709.21",0.16,"102,893,739,429.00",4.47,20181217,"117,235,808.00"
"2,716.00","2,753.13","2,716.00","2,751.15",-1.53,"123,643,656,099.00",-42.25,20181214,"145,785,848.00"
"2,758.25","2,770.62","2,721.99","2,730.07",1.23,"132,267,190,467.00",33.43,20181213,"150,535,652.00"
"2,724.83","2,733.09","2,717.42","2,731.12",0.31,"88,906,864,759.00",8.44,20181212,"103,354,072.00"
"2,716.38","2,718.55","2,704.96","2,708.97",0.37,"85,334,690,233.00",9.97,20181211,"101,159,615.00"
"2,706.42","2,722.33","2,697.67","2,711.20",-0.82,"99,059,117,563.00",-22.31,20181210,"113,018,318.00"
"2,728.72","2,737.85","2,721.80","2,732.36",0.03,"97,659,461,062.00",0.74,20181207,"108,946,222.00"
"2,727.99","2,757.88","2,725.85","2,753.81",-1.69,"128,970,564,271.00",-46.80,20181206,"141,436,169.00"
"2,774.79","2,785.88","2,749.72","2,753.80",-0.61,"133,570,628,092.00",-16.89,20181205,"154,195,194.00"
